trip_id,train_number,date_trip,stop_sequence,stop_id,stop_name,arrival_th,departure_th,arrival_delay_s,departure_delay_s,arrival_real,departure_real,retard_s,train_status,updated_at,retard_m
,12105,20260702,0,StopPoint:OCETGV INOUI-87113001,Paris Est,09:25:00,09:25:00,0,0,,,0,finished,1776087043,0.0
,12105,20260702,1,StopPoint:OCETGV INOUI-87212027,Strasbourg,11:11:00,11:11:00,0,0,,,0,finished,1776087043,0.0
,12108,20260702,0,StopPoint:OCETGV INOUI-87212027,Strasbourg,14:50:00,14:50:00,0,0,14:50:00,14:50:00,0,active,1776087043,0.0
,12108,20260702,1,StopPoint:OCETGV INOUI-87113001,Paris Est,16:35:00,16:35:00,0,0,16:35:00,16:35:00,0,active,1776087043,0.0
,12118,20260629,0,StopPoint:OCETGV INOUI-87212027,Strasbourg,06:30:00,06:30:00,0,0,,,0,finished,1776087043,0.0
,12118,20260629,1,StopPoint:OCETGV INOUI-87147322,Meuse TGV,07:19:00,07:21:00,0,0,,,0,finished,1776087043,0.0
,12118,20260629,2,StopPoint:OCETGV INOUI-87113001,Paris Est,08:21:00,08:21:00,0,0,,,0,finished,1776087043,0.0
,12124,20260629,0,StopPoint:OCETGV INOUI-87212027,Strasbourg,12:22:00,12:22:00,0,0,,,0,finished,1776087043,0.0
,12124,20260629,1,StopPoint:OCETGV INOUI-87113001,Paris Est,14:07:00,14:07:00,0,0,,,0,finished,1776087043,0.0
,12171,20260731,0,StopPoint:OCETGV INOUI-87113001,Paris Est,18:28:00,18:28:00,0,0,18:28:00,18:28:00,0,upcoming,1776087043,0.0
,12171,20260731,1,StopPoint:OCETGV INOUI-87171009,Reims,19:14:00,19:14:00,0,0,19:14:00,19:14:00,0,upcoming,1776087043,0.0
,12176,20260731,0,StopPoint:OCETGV INOUI-87756056,Nice-Ville,06:57:00,06:57:00,0,0,06:57:00,06:57:00,0,active,1776087043,0.0
,12176,20260731,1,StopPoint:OCETGV INOUI-87757674,Antibes,07:15:00,07:18:00,0,0,07:15:00,07:18:00,0,active,1776087043,0.0
,12176,20260731,2,StopPoint:OCETGV INOUI-87757625,Cannes,07:26:00,07:30:00,0,0,07:26:00,07:30:00,0,active,1776087043,0.0
,12176,20260731,3,StopPoint:OCETGV INOUI-87757526,Saint-Raphaël Valescure,07:51:00,07:54:00,0,0,07:51:00,07:54:00,0,active,1776087043,0.0
,12176,20260731,4,StopPoint:OCETGV INOUI-87755447,Les Arcs - Draguignan,08:08:00,08:11:00,0,0,08:08:00,08:11:00,0,active,1776087043,0.0
,12176,20260731,5,StopPoint:OCETGV INOUI-87755009,Toulon,08:47:00,08:50:00,0,0,08:47:00,08:50:00,0,active,1776087043,0.0
,12176,20260731,6,StopPoint:OCETGV INOUI-87751008,Marseille Saint-Charles,09:31:00,09:45:00,0,0,09:31:00,09:45:00,0,active,1776087043,0.0
